"Major","Style","Year","Genre","OwnSingles","OwnSinglesLagged","PortfolioSize","Performance","Diversification","Demand","IndieSingles","MajorSingles","Proliferation","Complexity"
"sony","rnb-swing",2005,"hip-hop",1,0,1,0,1,61.73,2,0,1,5.0520615369302
"universal","rnb-swing",2005,"hip-hop",4,1,17,0,0.0752,61.73,2,0,0,5.0520615369302
"warner","rnb-swing",2005,"hip-hop",0,0,7,0,0.14,61.73,2,0,1,5.0520615369302
"emi","rnb-swing",2005,"hip-hop",1,0,8,0,0.164444444444444,61.73,2,0,1,5.0520615369302
"sony","rnb-swing",2006,"hip-hop",3,1,7,0,0.0844444444444444,174.44,2,1,4,5.38625426442873
"universal","rnb-swing",2006,"hip-hop",4,4,31,15.77,0.0664036817882972,174.44,2,1,1,5.38625426442873
"warner","rnb-swing",2006,"hip-hop",0,0,8,0,0.140495867768595,174.44,2,2,4,5.38625426442873
"emi","rnb-swing",2006,"hip-hop",0,1,12,2.26,0.07,174.44,2,1,4,5.38625426442873
"sony","rnb-swing",2007,"hip-hop",0,3,10,16.52,0.1015625,183.73,2,0,4,5.04294023356128
"universal","rnb-swing",2007,"hip-hop",4,4,23,56.3,0.0991398822996831,183.73,2,0,3,5.04294023356128
"warner","rnb-swing",2007,"hip-hop",0,0,12,0,0.12962962962963,183.73,2,3,4,5.04294023356128
"emi","rnb-swing",2007,"hip-hop",0,0,14,0,0.0915576694411415,183.73,2,3,4,5.04294023356128
"sony","rnb-swing",2008,"hip-hop",1,0,5,0,0.135802469135802,52.88,0,0,4,4.38746491460631
"universal","rnb-swing",2008,"hip-hop",4,4,35,0,0.0687077251690993,52.88,0,0,0,4.38746491460631
"warner","rnb-swing",2008,"hip-hop",0,0,10,0,0.163265306122449,52.88,0,0,4,4.38746491460631
"emi","rnb-swing",2008,"hip-hop",0,0,8,0,0.125,52.88,0,0,4,4.38746491460631
"sony","rnb-swing",2009,"hip-hop",0,1,9,32.07,0.0987654320987654,121.93,3,0,4,5.19194494178393
"universal","rnb-swing",2009,"hip-hop",2,4,26,40.11,0.087962962962963,121.93,3,0,1,5.19194494178393
"warner","rnb-swing",2009,"hip-hop",0,0,7,0,0.0918367346938776,121.93,3,1,4,5.19194494178393
"emi","rnb-swing",2009,"hip-hop",0,0,13,0,0.1072,121.93,3,1,4,5.19194494178393
"sony","rnb-swing",2010,"hip-hop",1,0,6,0,0.222222222222222,69.82,1,0,2,4.48030497496738
"universal","rnb-swing",2010,"hip-hop",2,2,20,31.22,0.112426035502959,69.82,1,0,0,4.48030497496738
"warner","rnb-swing",2010,"hip-hop",0,0,4,0,0.135802469135802,69.82,1,0,2,4.48030497496738
"emi","rnb-swing",2010,"hip-hop",0,0,11,0,0.1640625,69.82,1,0,2,4.48030497496738
"sony","rnb-swing",2011,"hip-hop",0,1,4,3.45,0.12396694214876,32.93,1,0,2,4.76422754560309
"universal","rnb-swing",2011,"hip-hop",0,2,17,0,0.179584120982987,32.93,1,0,1,4.76422754560309
"warner","rnb-swing",2011,"hip-hop",0,0,11,0,0.137777777777778,32.93,1,1,2,4.76422754560309
"emi","rnb-swing",2011,"hip-hop",0,0,8,0,0.152777777777778,32.93,1,1,2,4.76422754560309
